employeeID,Tenure,Age,Performance,DeptFreqEncoded,RoleFreqEncoded,JobSatisfaction,OverTime,DistanceFromHome,YearsSinceLastPromotion,TrainingTimesLastYear,JobInvolvement,Turnover,avg_sentiment
1,0.0851063829787234,0.51063829787234,0.374540118847362,0.0973666740429298,0.093826067714096,0.750789674948508,0,0.0225645117053472,0.73571798677811,0.8,0.0454592255903845,0,0.567469323339703
2,0,0,0.950714306409916,0.0916131887585749,0.097809249834034,0.143865742806844,0,0.861664884699101,0.211716778461966,0.4,0.838560363398018,0,0.581198546284048
3,0,0.297872340425532,0.731993941811405,0.101349856162868,0.0993582651028988,0.622059509282108,0,0.577117082387906,0.145286009745787,0.6,0.989355015127519,0,0.662175128934905
4,0.0425531914893617,0.234042553191489,0.598658484197037,0.0984731135206904,0.0944899314007523,0.0803231056895334,1,0.890658455461842,0.316292348725624,0.6,0.472485025371382,1,0.354309116384353
5,0.0425531914893617,0.425531914893617,0.156018640442437,0.104669174596149,0.0944899314007523,0.694622287440476,1,0.596945223413173,0.976070586031904,0.2,0.969590336454601,0,0.202791891568764
6,0.0212765957446808,0.319148936170213,0.155994520336203,0.109094932507192,0.097809249834034,0.381839096561127,1,0.810161089959702,0.256831574567059,0.6,0.547328742343149,1,0.667077459024519
7,0.276595744680851,0.659574468085106,0.0580836121681995,0.097809249834034,0.0973666740429298,0.132498956266287,1,0.429673363355148,0.456127208946633,0,0.45961599587195,0,0.426654116779735
8,0.0851063829787234,0.574468085106383,0.866176145774935,0.0947112192963045,0.0944899314007523,0.862050856976128,0,0.749859931288269,0.0300202257173363,0.8,0.331404764727455,0,0.740894464860586
9,0.48936170212766,0.680851063829787,0.601115011743209,0.101349856162868,0.105996901969462,0.614008339038937,1,0.913041466889856,0.397227529566232,0.8,0.657554875833339,0,0.309379696613178
10,0.361702127659574,0.638297872340425,0.708072577796045,0.0984731135206904,0.093826067714096,0.354724967947527,1,0.572122963722206,0.571320015433103,0.2,0.229820420525045,1,0.474052721465176
